id,surveyed,lat_wgs84,lng_wgs84,x_wgs84,y_wgs84,z_hae,yaw,pitch,roll,notes
AK01,0,61.12517357,-147.1258154,493221.966,6776736.398,463.260,60,-15,0,AK01b
AK01b,1,61.12517357,-147.1258154,493221.966,6776736.398,463.260,45,-15,0,GPS
AK02,0,,,496804.140,6775877.210,88.620,-45,-5,0,GCP #3
AK02b,0,,,496804.140,6775877.210,88.620,-10,-5,0,AK02
AK03,1,61.11998466,-147.0553581,497017.211,6776153.168,163.520,-45,-10,-2,AK03b
AK03b,1,61.11998466,-147.0553581,497017.211,6776153.168,163.520,-22.5,-5,3,GPS
AK04,0,,,496703.887,6775902.279,86.575,-45,-5,0,GCP #1
AK09,0,,,497331.583,6776358.621,235.437,-5,-15,0,AK09b
AK09b,0,,,497331.583,6776358.621,235.437,30,-10,0,SfM
AK10,1,61.18825073,-147.0146686,499211.336,6783755.954,478.960,-165,-10,-4,GPS
AK10b,,,,499211.000,6783756.000,479.000,,,,Handheld GPS
AK11,0,,,,,,35,-15,0,
AK12,,,,,,,,,,
AKJNC,,,,494674.000,6780880.000,502.000,,,,
AKH09,0,,,,,,-10,-10,0,
AKHS1,0,,,,,,-10,-20,0,
AKHS2,0,,,,,,-10,-25,0,
AKHS3,0,,,,,,-10,-20,0,
AKHS4,0,,,,,,-15,-20,0,
AKST01A,1,61.12033036,-147.0560418,496980.405,6776191.706,137.610,-10,-5,0,GPS
AKST01B,1,61.12030707,-147.0563451,496964.061,6776189.126,137.820,-5,-5,0,GPS
AKST02A,0,,,,,,10,-15,0,
AKST02B,0,,,,,,5,-15,-3,
AKST03A,1,61.12156088,-147.0479732,497415.251,6776328.424,270.828,0,-5,0,GPS
AKST03B,1,61.12131252,-147.0495373,497330.958,6776300.823,263.970,5,0,-4,GPS
CG04,1,61.11902743,-147.0502013,497294.987,6776046.322,266.152,-85,-5,-3,GPS
CG05,1,61.118652,-147.05585,496990.581,6776004.758,152.039,-65,0,0,CG06
CG06,1,61.118652,-147.05585,496990.581,6776004.758,152.039,-78,0,0,"GPS, check datum and utm coordinates."
CGBAY,0,,,,,,-85,-10,0,
CGKDN,0,61.12517357,-147.1258154,493222.000,6776736.400,463.300,120,-5,0,AK01b
CGZM,0,,,,,,,,,